date,year,month,hour,holiday,weekday,working,weather_type,temp,feels_like,humidity,windspeed,count
1/1/2011,0,1,0,0,6,0,1,9.02,14.6829,0.81,0,16
1/1/2011,0,1,1,0,6,0,1,9.02,13.9077,0.8,0,40
1/1/2011,0,1,2,0,6,0,1,9.02,13.9077,0.8,0,32
1/1/2011,0,1,3,0,6,0,1,9.84,14.6829,0.75,0,13
1/1/2011,0,1,4,0,6,0,1,9.84,14.6829,0.75,0,1
1/1/2011,0,1,5,0,6,0,2,9.84,13.1376,0.75,6.0032,1
1/1/2011,0,1,6,0,6,0,1,9.02,13.9077,0.8,0,2
1/1/2011,0,1,7,0,6,0,1,8.2,13.1376,0.86,0,3
1/1/2011,0,1,8,0,6,0,1,9.84,14.6829,0.75,0,8
1/1/2011,0,1,9,0,6,0,1,13.12,17.7735,0.76,0,14
1/1/2011,0,1,10,0,6,0,1,15.58,20.0889,0.76,16.9979,36
1/1/2011,0,1,11,0,6,0,1,14.76,16.9983,0.81,19.0012,56
1/1/2011,0,1,12,0,6,0,1,17.22,21.6342,0.77,19.0012,84
1/1/2011,0,1,13,0,6,0,2,18.86,23.1795,0.72,19.9995,94
1/1/2011,0,1,14,0,6,0,2,18.86,23.1795,0.72,19.0012,106
1/1/2011,0,1,15,0,6,0,2,18.04,22.4094,0.77,19.9995,110
1/1/2011,0,1,16,0,6,0,2,17.22,21.6342,0.82,19.9995,93
1/1/2011,0,1,17,0,6,0,2,18.04,22.4094,0.82,19.0012,67
1/1/2011,0,1,18,0,6,0,3,17.22,21.6342,0.88,16.9979,35
1/1/2011,0,1,19,0,6,0,3,17.22,21.6342,0.88,16.9979,37
1/1/2011,0,1,20,0,6,0,2,16.4,20.8641,0.87,16.9979,36
1/1/2011,0,1,21,0,6,0,2,16.4,20.8641,0.87,12.998,34
1/1/2011,0,1,22,0,6,0,2,16.4,20.8641,0.94,15.0013,28
1/1/2011,0,1,23,0,6,0,2,18.86,23.1795,0.88,19.9995,39
1/2/2011,0,1,0,0,0,0,2,18.86,23.1795,0.88,19.9995,17
1/2/2011,0,1,1,0,0,0,2,18.04,22.4094,0.94,16.9979,17
1/2/2011,0,1,2,0,0,0,2,17.22,21.6342,1,19.0012,9
